taxonomic_group	taxon_primer_hits	taxon_primer_misses	taxon_total_observed	total_filtered_seqs	fraction_total_filtered_sequences_mismatched	fraction_taxon_mismatched
d:Bacteria,p:Verrucomicrobia,c:Verrucomicrobiae,o:LD1-PB3		0	0	4360	0	0
d:Bacteria,p:Verrucomicrobia,c:Verrucomicrobiae,o:Chthoniobacterales		0	0	4360	0	0
d:Bacteria,p:Verrucomicrobia,c:Verrucomicrobiae,o:Arctic97B-4_marine_group		0	0	4360	0	0
d:Bacteria,p:Thermotogae,c:Thermotogae,o:uncultured		0	0	4360	0	0
d:Bacteria,p:Thermotogae,c:Thermotogae,o:Thermotogales		0	0	4360	0	0
d:Bacteria,p:Thermotogae,c:Thermotogae,o:Petrotogales		0	0	4360	0	0
d:Bacteria,p:Thermotogae,c:Thermotogae,o:Kosmotogales		0	0	4360	0	0
d:Bacteria,p:Tenericutes,c:Mollicutes,o:T2WK15B57		0	0	4360	0	0
d:Bacteria,p:Tenericutes,c:Mollicutes,o:Mycoplasmatales		0	0	4360	0	0
d:Bacteria,p:Tenericutes,c:Mollicutes,o:Mollicutes_RF39		0	0	4360	0	0
d:Bacteria,p:Tenericutes,c:Mollicutes,o:Mollicutes_Incertae_Sedis		0	0	4360	0	0
d:Bacteria,p:Tenericutes,c:Mollicutes,o:Izimaplasmatales		0	0	4360	0	0
d:Bacteria,p:Tenericutes,c:Mollicutes,o:Entomoplasmatales		0	0	4360	0	0
d:Bacteria,p:Tenericutes,c:Mollicutes,o:Anaeroplasmatales		0	0	4360	0	0
d:Bacteria,p:Tenericutes,c:Mollicutes,o:Acholeplasmatales		0	0	4360	0	0
d:Bacteria,p:TA06,c:uncultured_bacterium_UASB_TL20,o:uncultured_bacterium_UASB_TL20		0	0	4360	0	0
d:Bacteria,p:TA06,c:candidate_division_TA06_bacterium_SM23_40,o:candidate_division_TA06_bacterium_SM23_40		0	0	4360	0	0
d:Bacteria,p:Synergistetes,c:Synergistia,o:Synergistales		0	0	4360	0	0
